,name,gearbox,fuel,mfd_date,mileage,power,price
0,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2018-12,18000,110,16999
1,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2002-11,295100,74,1400
2,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-12,260800,103,3000
3,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2009-04,297340,103,2700
4,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2007-11,271200,103,2999
5,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2013-03,240000,103,8000
6,"Volkswagen Passat, 1.8 l., universalas",Mechaninė,Benzinas / dujos,1998,258415,110,750
7,"Volkswagen Passat, universalas",Mechaninė,Dyzelinas,1999,380000,66,600
8,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Benzinas,2005-07,210000,85,2800
9,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2000,270000,96,1200
10,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Benzinas,2002-11,232000,75,1950
11,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Benzinas,1999-07,250000,74,900
12,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1998,392947,81,900
13,"Volkswagen Passat, 3.6 l., sedanas",Automatinė,Benzinas,2018-03,31000,206,16500
14,"Volkswagen Passat, 1.4 l., universalas",Automatinė,Benzinas / dujos,2010-09,233000,110,3900
15,"Volkswagen Passat, 1.8 l., universalas",Mechaninė,Benzinas,2000-04,222222,92,1200
16,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2007-03,295100,103,2999
17,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2015-09,217562,110,13000
18,"Volkswagen Passat, 2.3 l., universalas",Mechaninė,Benzinas / dujos,1999-09,307279,110,600
19,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2011-07,191754,103,7100
20,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Dyzelinas,2012-12,250000,77,6500
21,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-05,192800,103,3950
22,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,1998-01,221167,81,1500
23,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2006,272000,103,3100
24,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1997,300000,81,799
25,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1994-04,341200,66,650
26,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Dyzelinas,2007,237251,103,4200
27,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1998-10,398000,81,550
28,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2001-09,263070,96,1500
29,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1995,324000,66,750
30,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2007-09,252000,103,3550
31,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2012-05,188000,125,8700
